Stock,"Market Cap","Current Price","High / Low","Stock P/E","Book Value","Dividend Yield",ROCE,ROE,"Face Value"
ASHOKA,"5,066",180,196,17.9,123,0.00,14.7,12.2,5.00
BORORENEW,"7,124",546,669,835,67.9,0.00,11.6,10.7,1.00
IRB,"40,805",67.6,72.0,80.9,15.2,0.29,5.80,4.27,1.00
JSWENERGY,"87,217",530,531,118,86.4,0.39,6.49,4.41,10.0
NBCC,"25,497",142,177,62.8,10.9,0.38,26.4,19.0,1.00
GSFC,"9,036",227,322,12.2,307,4.44,13.4,10.9,2.00
GMDCLTD,"12,952",407,506,15.0,182,2.81,31.5,23.0,2.00
LANDMARK,"2,966",720,905,42.2,116,0.31,17.2,13.4,5.00
SEQUENT,"3,639",146,156,"2,493",42.6,0.00,-0.68,-0.58,2.00
PATANJALI,"59,887","1,654","1,741",72.8,282,0.36,13.5,11.1,2.00
NAM-INDIA,"32,430",516,541,35.2,54.8,2.20,27.2,21.1,10.0
NYKAA,"43,253",152,196,941,5.85,0.00,5.33,3.83,1.00
EASEMYTRIP,"8,522",48.1,54.0,51.2,3.46,0.21,54.6,46.9,1.00
JTEKTINDIA,"3,683",151,182,42.0,29.0,0.33,15.5,12.7,1.00
JCHAC,"3,081","1,133","1,393",,207,0.00,-9.55,-9.46,10.0
SUPRAJIT,"6,030",436,447,29.4,86.0,0.54,21.0,18.3,1.00
LATENTVIEW,"10,614",516,545,93.3,50.4,0.00,16.0,12.6,1.00
ICIL,"7,065",357,357,23.5,95.8,0.58,14.1,14.2,2.00
ISGEC,"6,359",865,"1,178",28.5,278,0.35,12.4,9.58,1.00
ALOKINDS,"14,945",30.1,39.2,,-35.7,0.00,-6.53,,1.00
SIEMENS,"1,60,568","4,509","4,610",82.9,366,0.22,20.7,15.4,2.00
PRICOLLTD,"5,102",419,444,44.5,60.2,0.00,18.5,16.8,1.00
ACLGATI,"1,568",120,178,202,54.0,0.00,0.48,0.45,2.00
DLF,"2,20,389",890,908,119,114,0.44,9.71,8.23,2.00
CAPLIPOINT,"11,198","1,475","1,619",41.8,167,0.31,28.2,22.5,2.00
BAYERCROP,"26,452","5,886","6,202",33.0,697,2.22,33.7,25.9,10.0
DIVGIITTS,"2,594",848,"1,150",59.0,184,0.40,15.5,11.5,5.00
SURYAROSNI,"6,733",619,842,17.7,182,0.94,22.8,19.7,5.00
POONAWALLA,"36,312",471,520,36.1,101,0.43,8.91,9.38,2.00
MOTILALOFS,"25,217","1,698","1,938",23.7,348,0.82,12.9,13.1,1.00
AHLUCONT,"7,676","1,146","1,276",31.0,199,0.03,24.7,17.0,2.00
NATIONALUM,"28,973",158,169,18.5,74.1,2.86,15.1,12.0,5.00
DCAL,"3,818",244,253,,261,0.00,-0.75,-1.34,2.00
COCHINSHIP,"22,688",862,945,41.5,179,0.98,8.66,6.57,5.00
MFSL,"32,096",930,"1,069",,196,0.00,0.29,0.21,2.00
GODREJPROP,"67,786","2,438","2,488",110,367,0.00,6.07,5.78,5.00
ABB,"1,10,299","5,205","5,523",88.3,281,0.10,30.5,22.9,2.00
JTLIND,"4,475",262,276,37.3,27.9,0.04,34.6,30.1,2.00
CHOICEIN,"5,720",287,302,"2,509",15.6,0.00,1.93,0.76,10.0
AVALON,"3,433",523,732,79.3,100,0.00,9.72,6.43,2.00
GNFC,"9,925",675,815,14.3,594,4.41,22.9,17.3,10.0
MINDACORP,"10,313",431,450,39.3,69.0,0.28,15.4,20.9,2.00
TI,"4,344",226,291,32.8,29.7,0.11,15.2,23.2,10.0
THOMASCOOK,"8,016",170,190,99.0,38.8,0.24,3.09,0.09,1.00
NFL,"5,016",102,130,,48.5,2.73,15.0,17.9,10.0
SCI,"11,212",241,291,16.5,140,0.18,10.3,13.3,10.0
JINDALSAW,"16,522",517,558,11.5,288,0.57,10.9,7.25,2.00
GREENPLY,"3,370",272,275,39.4,54.2,0.19,23.2,20.2,1.00
SSWL,"4,039",257,299,19.6,78.0,0.39,21.4,18.6,1.00
APOLLOTYRE,"33,155",522,560,27.1,157,0.77,8.79,5.89,1.00
MSTCLTD,"6,669",947,"1,165",29.2,101,1.61,46.3,45.2,10.0
SOLARINDS,"61,987","6,850","8,499",108,218,0.12,33.7,28.3,2.00
OBEROIRLTY,"49,604","1,364","1,586",79.5,216,0.29,9.17,9.37,10.0
HEROMOTOCO,"89,838","4,494","4,980",22.8,895,2.21,23.0,17.4,2.00
TIPSINDLTD,"6,670",519,521,55.7,14.3,1.16,88.6,64.0,1.00
ETHOSLTD,"6,513","2,789","2,852",86.4,286,0.00,17.4,13.8,10.0
CARERATING,"3,608","1,209","1,214",32.7,241,1.41,20.4,15.4,10.0
ADANIPORTS,"2,88,595","1,336","1,337",101,131,0.38,7.46,12.2,2.00
BLS,"15,323",372,430,464,1.90,0.20,56.5,50.0,1.00
CHALET,"17,937",873,892,72.8,82.6,0.00,9.31,11.2,10.0
AMBER,"12,998","3,858","4,615",329,491,0.00,5.98,3.10,10.0
KAYNES,"18,677","2,922","3,000",162,158,0.00,21.5,16.3,10.0
FINOPB,"2,636",317,384,31.7,66.4,0.00,7.17,12.6,10.0
RCF,"8,093",147,190,39.3,85.5,3.61,21.2,21.2,10.0
MANKIND,"84,797","2,117","2,297",51.4,216,0.00,20.7,17.0,1.00
